year,Bottom50share,Top10share,Mobility,Unemployment,Mobilitystate,Incomemed,IncomemedLN,helpful_mean,fair_mean,trust_mean,happy_new,rinchappy,Nhap,serinchappy,rinchappz,rinchapdetrend,ginihousehold,ginidetrend
2018,.1348,.4551,10.1,3.9,1.5,64724,11.0778873545197,2.0148,2.0619,1.6767,2.1557,.243,2151,.0215765926001052,.247959919036631,.00014891118051491,.486,-.00609574468085072
2017,.1358,.4523,11,4.4,1.7,64207,11.0698675180022, , , , , , , , , ,.4855,-.00446345975948109
2016,.1308,.453,11.2,4.9,1.5,63015,11.0511280722716,2.0128,2.1191,1.6809,2.1238,.275,2591,.0196570283492688,.282264901368926,.0379616533202576,.481,-.00683117483811235
2015,.1319,.4553,11.6,5.3,1.6,61328,11.0239917876203, , , , , , , , , ,.479,-.00669888991674361
2014,.1315,.455,11.5,6.2,1.5,58416,10.9753451038954,2.0315,2.1154,1.669,2.17588932806324,.203,2310,.0208197831963985,.205859518592232,-.0349359696489887,.48,-.00356660499537398
2013,.1343,.4487,11.7,7.4,1.6,57516,10.9598184489476, , , , , , , , , ,.479,-.00243432007400524
2012,.1321,.4542,12,8.1,1.7,57093,10.9524367961851,2.0045,2.0988,1.6875,2.16089613034623,.21,1752,.0239114049929405,.21317134656486,-.0241163818689129,.477,-.00230203515263561
2011,.1346,.4431,11.6,8.9,1.6,56779,10.9469218180367, , , , , , , , , ,.477,-.000169750231266863
2010,.1385,.4369,12.5,9.6,1.4,57776,10.9643287435172,2.0431,2.1436,1.7223,2.10838646395292,.195,1804,.0235636814813137,.197529593473524,-.0362503751528012,.47,-.00503746530989813
2009,.1425,.4241,12.5,9.3,1.6,59167,10.9881192330164, , , , , , , , , ,.468,-.00490518038852844
2008,.1431,.436,11.9,5.8,1.6,59673,10.9966349357732,1.9978,2.10890360559235,1.7004,2.14044665012407,.244,1770,.0237893034034903,.249022948559796,.0187507397409188,.466,-.0047728954671597
2007,.1435,.44,13.2,4.6,1.7,61763,11.0310597586485, , , , , , , , , ,.463,-.00564061054579007
2006,.1413,.4406,13.7,4.6,2,61296,11.0234698669404,1.9713,2.09146033350177,1.7182,2.17749497655727,.239,2576,.0197142430671938,.243713261883728,.0169488128722987,.47,.00349167437557862
2005,.1441,.4323,13.9,5.1,2.6,60761,11.0147034147705, , , , , , , , , ,.469,.00462395929694737
2004,.1482,.4221,13.7,5.5,2.6,60255,11.0063408354615,2.0905,2.1113662456946,1.77942857142857,2.17875841436051,.21,1173,.0292352673102343,.21317134656486,-.0100853426391218,.466,.00375624421831705
2003,.1511,.4146,14.1893996234375,6,2.69964184090941,60736,11.0142918819696, , , , , , , , , ,.464,.00388852913968579
2002,.1538,.4137,14.7796232384239,5.8,2.79335634167386,60995,11.0185471725828,2.044,2.0990099009901,1.76043956043956,2.17896274653031,.211,1223,.0286299167156934,.214217711353609,-.005531218042925,.462,.00402081406105542
2001,.1532,.4179,14.1529184248814,4.7,2.82390760891256,61706,11.0301364498981, , , , , , , , , ,.466,.0101530989824242
2000,.1507,.4264,16.1,4,3.1,62874,11.048888002703,2.008,2.13687600644122,1.77062267163385,2.21173928700036,.237,2421,.0203362958695521,.241593170554015,.0253520009649295,.462,.00828538390379291
1999,.1518,.4208,15.9,4.2,2.8,62724,11.0464994285009, , , , , , , , , ,.458,.00641766882516254
1998,.1524,.4177,16,4.5,2.4,61257,11.0228334075911,2.0505,2.14399152991001,1.81116794543905,2.19636493228795,.23,2481,.0200885850922577,.234189466759367,.0214560569777283,.456,.00654995374653128
1997,.1521,.4135,16.5,4.9,2.4,59235,10.9892678623889, , , , , , , , , ,.459,.0116822386679009
1996,.1542,.4066,16.3,5.4,2.5,57763,10.9641037112761,1.944,2.07936507936508,1.73054830287206,2.18301559792028,.195,2544,.0198379900214539,.197529593473524,-.0116960565006666,.455,.00981452358926965
1995,.1568,.3974,16.4,5.6,2.2,56995,10.9507188236709, , , , , , , , , ,.45,.00694680851063839
1994,.1607,.3895,16.7,6.1,2.6,55423,10.9227499490342,1.9985,2.13997985901309,1.72531328320802,2.16560295599597,.209,2627,.0195217202360758,.212125441423569,.00640755125682649,.456,.015079093432008
1993,.1606,.3892,17,6.9,2.7,54635,10.9084299820048,2.1152,2.19579751671442,1.75950570342205,2.20487195502811,.222,1463,.0261711961295107,.225758807776574,.0217947975135556,.454,.0152113783533768
1992,.1594,.3926,17.3,7.5,2.9,54865,10.9126309014249, , , , , , , , , ,.433,-.00365633672525362
1991,.1666,.382,17,6.9,2.9,55342,10.9212873929119,1.57768924302789,2.21215139442231,1.81934846989141,2.20079787234043,.215,1358,.0271662912462081,.21840781899612,.0179515685405493,.428,-.00652405180388488
1990,.1688,.3838,17.9,5.6,3.3,56658,10.9447884744911,1.54096520763187,2.21276595744681,1.80512249443207,2.24467303453343,.167,1223,.0286299167156934,.168578995059857,-.0301233754919902,.428,-.00439176688251613
1989,.1697,.384,17.8,5.3,3,57743,10.963757408916,1.54713313896987,2.21671525753158,1.85728155339806,2.22935779816514,.205,1371,.0270369035217938,.207946365635212,.0109978749870884,.431,.000740518038853499
1988,.1689,.388,17.8,5.5,3,56863,10.9484001449809,2.0598,2.26727642276423,1.82121212121212,2.24693042291951,.166,1346,.0272873897271909,.167550482275845,-.0276441284685539,.426,-.00212719703977776
1987,.1737,.3711,18.6,6.2,2.8,56248,10.937525763879,2.1033,2.11997767857143,1.80752212389381,2.15674157303371,.217,1637,.0247385347997647,.220505698498362,.0270649676576867,.426,5.08788159186979E-006
1986,.1767,.3616,18.6,7,3,55504,10.9242103692095,2.0573,2.28914835164835,1.77830832196453,2.20910973084886,.207,1329,.0274617518190545,.210034999731342,.0183481487943904,.425,.00113737280296061
1985,.1784,.3643,20.2,7.2,3,53657,10.8903672148506,2.0466, , ,2.17254901960784,.149,1415,.0266123147706175,.150117574637691,-.039815396395537,.419,-.00273034227566976
1984,.1796,.3638,17.3,7.5,2.8,52734,10.8730156877927,1.9179,2.27675528289025,1.98357289527721,2.21799307958478,.206,1320,.0275554249227396,.208990458019997,.0208113668904937,.415,-.00459805735430102
1983,.1832,.3515,16.6,9.6,2.7,51373,10.8468680216004,2.1728,2.25047318611987,1.78375,2.18372536554355,.158,1430,.0264720767589686,.159334821945307,-.0270903892804729,.414,-.00346577243293228
1982,.1911,.345,17,9.7,3,51214,10.8437682111504, , , ,2.16064690026954,.194,1677,.0244411858368922,.19649027572296,.0118189444009037,.412,-.00333348751156265
1981,.1967,.3424,17.2,7.6,2.8,51403,10.8474518154988,2.077, , , , , , , , ,.406,-.00720120259019386
1980,.2008,.3377, ,7.2, ,52435,10.8673295862685,2.1977,2.26,1.94798083504449,2.20588235294118,.194,1353,.0272165526975909,.19649027572296,.0153267042083512,.403,-.00806891766882423
1979,.2036,.342, ,5.9, ,54113,10.8988297317168, , , , , , , , , ,.404,-.00493663274745548
1978,.2023,.3388, ,6.1, ,53889,10.8946816544369,2.2436,2.34917491749175,1.82329842931937,2.24785761371127,.148,1419,.0265747001726367,.149095025025098,-.0285607866820623,.402,-.00480434782608674
1977,.2028,.3416, ,7.1, ,52328,10.865286879641, , , ,2.22920759659463,.199,1397,.026783579200279,.201691103979578,.0257891721761409,.402,-.00267206290471711
1976,.2055,.3376,17.7,7.7,3,51993,10.8588643731175,1.9263,2.23138832997988,1.9257525083612,2.21547698465644,.177,1394,.0268124460085859,.178883953291604,.00473590139189078,.398,-.00453977798334837
1975,.2045,.3383, ,8.5, ,50795,10.8355532035256,2.1966,2.31368563685637,1.83355886332882,2.1979797979798,.137,1403,.0267261241912424,.137866901333554,-.0345272706624347,.397,-.00340749306197874
1974,.2101,.3346, ,5.6, ,52265,10.8640822099668, , , ,2.24797297297297,.165,1354,.0272064780895472,.166522320574473,-.00411797151779195,.395,-.00327520814061
1973,.2054,.3445, ,4.9, ,54005,10.8968319138526,1.9753,2.2,1.94996664442962,2.228,.204,1393,.026822089039291,.206902720012192,.0380163078236509,.4,.00385707678075875
1972,.2036,.3417, ,5.6, ,52743,10.8731863411109,2.0057,2.25879396984925,1.95929868503444,2.13760896637609,.141,1468,.0261264972136582,.14194571393891,-.025186818345907,.401,.00698936170212838
